vertices,edges,expectedEdges, expectedVarience
10,3,4,7
10,5,4,7
10,5,4,7
10,4,4,7
10,2,4,7
10,4,4,7
10,0,4,7
10,8,4,7
10,0,4,7
10,4,4,7
10,3,4,7
10,0,4,7
10,5,4,7
10,4,4,7
10,4,4,7
10,2,4,7
10,4,4,7
10,2,4,7
10,4,4,7
10,1,4,7
16,13,8,21
16,20,8,21
16,1,8,21
16,8,8,21
16,3,8,21
16,11,8,21
16,1,8,21
16,10,8,21
16,11,8,21
16,11,8,21
16,15,8,21
16,3,8,21
16,23,8,21
16,10,8,21
16,12,8,21
16,4,8,21
16,5,8,21
16,14,8,21
16,9,8,21
16,18,8,21
26,30,14,59
26,17,14,59
26,33,14,59
26,19,14,59
26,17,14,59
26,21,14,59
26,16,14,59
26,22,14,59
26,13,14,59
26,22,14,59
26,2,14,59
26,6,14,59
26,16,14,59
26,7,14,59
26,11,14,59
26,2,14,59
26,26,14,59
26,43,14,59
26,5,14,59
26,18,14,59
42,2,26,162
42,56,26,162
42,9,26,162
42,1,26,162
42,11,26,162
42,5,26,162
42,55,26,162
42,29,26,162
42,14,26,162
42,25,26,162
42,20,26,162
42,31,26,162
42,26,26,162
42,26,26,162
42,19,26,162
42,46,26,162
42,49,26,162
42,29,26,162
42,16,26,162
42,33,26,162
69,92,48,452
69,46,48,452
69,33,48,452
69,32,48,452
69,68,48,452
69,22,48,452
69,19,48,452
69,75,48,452
69,98,48,452
69,45,48,452
69,53,48,452
69,6,48,452
69,79,48,452
69,29,48,452
69,26,48,452
69,37,48,452
69,22,48,452
69,6,48,452
69,57,48,452
69,60,48,452
112,144,86,1221
112,117,86,1221
112,107,86,1221
112,146,86,1221
112,167,86,1221
112,48,86,1221
112,102,86,1221
112,44,86,1221
112,89,86,1221
112,127,86,1221
112,41,86,1221
112,120,86,1221
112,56,86,1221
112,137,86,1221
112,120,86,1221
112,58,86,1221
112,94,86,1221
112,11,86,1221
112,133,86,1221
112,89,86,1221
183,47,152,3323
183,252,152,3323
183,26,152,3323
183,120,152,3323
183,42,152,3323
183,128,152,3323
183,140,152,3323
183,140,152,3323
183,164,152,3323
183,171,152,3323
183,147,152,3323
183,91,152,3323
183,80,152,3323
183,318,152,3323
183,279,152,3323
183,148,152,3323
183,107,152,3323
183,183,152,3323
183,35,152,3323
183,156,152,3323
297,367,266,8875
297,141,266,8875
297,419,266,8875
297,381,266,8875
297,209,266,8875
297,193,266,8875
297,277,266,8875
297,145,266,8875
297,236,266,8875
297,333,266,8875
297,401,266,8875
297,160,266,8875
297,100,266,8875
297,279,266,8875
297,152,266,8875
297,360,266,8875
297,317,266,8875
297,218,266,8875
297,367,266,8875
297,204,266,8875
483,810,462,23711
483,309,462,23711
483,419,462,23711
483,709,462,23711
483,400,462,23711
483,487,462,23711
483,577,462,23711
483,755,462,23711
483,317,462,23711
483,227,462,23711
483,562,462,23711
483,738,462,23711
483,798,462,23711
483,279,462,23711
483,735,462,23711
483,333,462,23711
483,635,462,23711
483,785,462,23711
483,174,462,23711
483,678,462,23711
784,1562,799,62927
784,546,799,62927
784,683,799,62927
784,371,799,62927
784,179,799,62927
784,612,799,62927
784,364,799,62927
784,279,799,62927
784,268,799,62927
784,1103,799,62927
784,575,799,62927
784,160,799,62927
784,937,799,62927
784,345,799,62927
784,185,799,62927
784,646,799,62927
784,629,799,62927
784,777,799,62927
784,572,799,62927
784,796,799,62927
1274,700,1376,167035
1274,1328,1376,167035
1274,1337,1376,167035
1274,1726,1376,167035
1274,1278,1376,167035
1274,1805,1376,167035
1274,2815,1376,167035
1274,2245,1376,167035
1274,710,1376,167035
1274,853,1376,167035
1274,919,1376,167035
1274,1349,1376,167035
1274,1259,1376,167035
1274,968,1376,167035
1274,1404,1376,167035
1274,1315,1376,167035
1274,1370,1376,167035
1274,1034,1376,167035
1274,1058,1376,167035
1274,1284,1376,167035
2069,3085,2361,442173
2069,1870,2361,442173
2069,2110,2361,442173
2069,3215,2361,442173
2069,2718,2361,442173
2069,1586,2361,442173
2069,427,2361,442173
2069,1215,2361,442173
2069,2497,2361,442173
2069,1586,2361,442173
2069,1501,2361,442173
2069,3058,2361,442173
2069,2530,2361,442173
2069,1511,2361,442173
2069,3514,2361,442173
2069,1696,2361,442173
2069,2126,2361,442173
2069,2433,2361,442173
2069,1849,2361,442173
2069,2513,2361,442173
3359,3634,4037,1168476
3359,3943,4037,1168476
3359,3917,4037,1168476
3359,5350,4037,1168476
3359,1671,4037,1168476
3359,5293,4037,1168476
3359,6556,4037,1168476
3359,1835,4037,1168476
3359,4059,4037,1168476
3359,4938,4037,1168476
3359,6879,4037,1168476
3359,5148,4037,1168476
3359,4193,4037,1168476
3359,4037,4037,1168476
3359,4326,4037,1168476
3359,2195,4037,1168476
3359,4163,4037,1168476
3359,5727,4037,1168476
3359,6823,4037,1168476
3359,1285,4037,1168476
5455,6460,6888,3087305
5455,6326,6888,3087305
5455,11832,6888,3087305
5455,6909,6888,3087305
5455,4673,6888,3087305
5455,7565,6888,3087305
5455,8773,6888,3087305
5455,5592,6888,3087305
5455,5593,6888,3087305
5455,3125,6888,3087305
5455,7170,6888,3087305
5455,8986,6888,3087305
5455,5644,6888,3087305
5455,3733,6888,3087305
5455,11298,6888,3087305
5455,7289,6888,3087305
