vertices,edges,expectedEdges
10,0,2
10,0,2
10,1,2
10,0,2
10,4,2
10,4,2
10,2,2
10,5,2
10,0,2
10,3,2
16,3,4
16,2,4
16,0,4
16,5,4
16,2,4
16,9,4
16,2,4
16,2,4
16,1,4
16,0,4
26,1,7
26,5,7
26,11,7
26,0,7
26,5,7
26,13,7
26,0,7
26,12,7
26,0,7
26,2,7
42,35,14
42,1,14
42,0,14
42,35,14
42,12,14
42,14,14
42,14,14
42,1,14
42,11,14
42,21,14
69,34,25
69,47,25
69,41,25
69,9,25
69,17,25
69,27,25
69,4,25
69,5,25
69,39,25
69,7,25
112,5,44
112,61,44
112,59,44
112,44,44
112,6,44
112,40,44
112,82,44
112,18,44
112,25,44
112,8,44
183,113,79
183,58,79
183,173,79
183,83,79
183,96,79
183,33,79
183,120,79
183,71,79
183,138,79
183,58,79
297,122,137
297,117,137
297,67,137
297,54,137
297,61,137
297,272,137
297,117,137
297,203,137
297,200,137
297,421,137
483,190,238
483,324,238
483,263,238
483,340,238
483,100,238
483,279,238
483,503,238
483,254,238
483,152,238
483,110,238
784,177,411
784,277,411
784,659,411
784,188,411
784,530,411
784,408,411
784,859,411
784,424,411
784,431,411
784,552,411
1274,337,708
1274,343,708
1274,927,708
1274,1075,708
1274,472,708
1274,727,708
1274,418,708
1274,499,708
1274,404,708
1274,495,708
2069,485,1212
2069,1196,1212
2069,1932,1212
2069,1140,1212
2069,741,1212
2069,952,1212
2069,1018,1212
2069,754,1212
2069,632,1212
2069,1203,1212
3359,1393,2071
3359,2489,2071
3359,2171,2071
3359,3532,2071
3359,1930,2071
3359,3888,2071
3359,2471,2071
3359,3714,2071
3359,749,2071
3359,2082,2071
5455,2314,3529
5455,2063,3529
5455,3304,3529
5455,4464,3529
5455,3500,3529
5455,2864,3529
5455,4288,3529
5455,2407,3529
5455,7125,3529
5455,3571,3529
8858,6484,6000
8858,3672,6000
8858,7312,6000
8858,4152,6000
8858,3834,6000
8858,5497,6000
8858,5572,6000
8858,5105,6000
8858,5420,6000
8858,4237,6000
15000,9243,10654
15000,6418,10654
15000,9478,10654
15000,10125,10654
15000,16087,10654
15000,8025,10654
15000,5974,10654
15000,6352,10654
15000,16537,10654
15000,14252,10654
