Graph with 1000 vertices and 12908 edges
Max alpha: 1932.35556325
Accuracy (alpha=0): 0.50, pos: 0.00, neg: 1.00
Accuracy (alpha=1): 0.50, pos: 0.00, neg: 1.00
Accuracy (alpha=2): 0.50, pos: 0.00, neg: 1.00
Accuracy (alpha=3): 0.50, pos: 0.00, neg: 1.00
Accuracy (alpha=4): 0.50, pos: 0.00, neg: 1.00
Accuracy (alpha=5): 0.50, pos: 0.00, neg: 1.00
Accuracy (alpha=6): 0.50, pos: 0.00, neg: 1.00
Accuracy (alpha=7): 0.50, pos: 0.00, neg: 1.00
Accuracy (alpha=8): 0.50, pos: 0.01, neg: 1.00
Accuracy (alpha=9): 0.51, pos: 0.01, neg: 1.00
Accuracy (alpha=10): 0.51, pos: 0.01, neg: 1.00
Accuracy (alpha=11): 0.51, pos: 0.02, neg: 1.00
Accuracy (alpha=12): 0.51, pos: 0.03, neg: 1.00
Accuracy (alpha=13): 0.52, pos: 0.03, neg: 1.00
Accuracy (alpha=14): 0.52, pos: 0.03, neg: 1.00
Accuracy (alpha=15): 0.52, pos: 0.04, neg: 1.00
Accuracy (alpha=16): 0.52, pos: 0.04, neg: 1.00
Accuracy (alpha=17): 0.52, pos: 0.05, neg: 1.00
Accuracy (alpha=18): 0.53, pos: 0.06, neg: 1.00
Accuracy (alpha=19): 0.53, pos: 0.07, neg: 1.00
Accuracy (alpha=20): 0.54, pos: 0.08, neg: 1.00
Accuracy (alpha=21): 0.54, pos: 0.09, neg: 1.00
Accuracy (alpha=22): 0.54, pos: 0.09, neg: 1.00
Accuracy (alpha=23): 0.55, pos: 0.10, neg: 1.00
Accuracy (alpha=24): 0.55, pos: 0.11, neg: 0.99
Accuracy (alpha=25): 0.56, pos: 0.12, neg: 0.99
Accuracy (alpha=26): 0.56, pos: 0.13, neg: 0.99
Accuracy (alpha=27): 0.57, pos: 0.14, neg: 0.99
Accuracy (alpha=28): 0.57, pos: 0.15, neg: 0.99
Accuracy (alpha=29): 0.57, pos: 0.16, neg: 0.99
Accuracy (alpha=30): 0.58, pos: 0.17, neg: 0.99
Accuracy (alpha=31): 0.58, pos: 0.18, neg: 0.99
Accuracy (alpha=32): 0.59, pos: 0.19, neg: 0.99
Accuracy (alpha=33): 0.59, pos: 0.20, neg: 0.99
Accuracy (alpha=34): 0.60, pos: 0.21, neg: 0.99
Accuracy (alpha=35): 0.60, pos: 0.22, neg: 0.99
Accuracy (alpha=36): 0.61, pos: 0.23, neg: 0.98
Accuracy (alpha=37): 0.61, pos: 0.24, neg: 0.98
Accuracy (alpha=38): 0.62, pos: 0.25, neg: 0.98
Accuracy (alpha=39): 0.62, pos: 0.25, neg: 0.98
Accuracy (alpha=40): 0.62, pos: 0.26, neg: 0.98
Accuracy (alpha=41): 0.63, pos: 0.27, neg: 0.98
Accuracy (alpha=42): 0.63, pos: 0.28, neg: 0.98
Accuracy (alpha=43): 0.64, pos: 0.29, neg: 0.98
Accuracy (alpha=44): 0.64, pos: 0.30, neg: 0.98
Accuracy (alpha=45): 0.65, pos: 0.31, neg: 0.98
Accuracy (alpha=46): 0.65, pos: 0.32, neg: 0.98
Accuracy (alpha=47): 0.65, pos: 0.33, neg: 0.97
Accuracy (alpha=48): 0.66, pos: 0.34, neg: 0.97
Accuracy (alpha=49): 0.66, pos: 0.35, neg: 0.97
Accuracy (alpha=50): 0.67, pos: 0.36, neg: 0.97
Accuracy (alpha=51): 0.67, pos: 0.38, neg: 0.97
Accuracy (alpha=52): 0.68, pos: 0.38, neg: 0.97
Accuracy (alpha=53): 0.68, pos: 0.39, neg: 0.97
Accuracy (alpha=54): 0.69, pos: 0.40, neg: 0.97
Accuracy (alpha=55): 0.69, pos: 0.41, neg: 0.97
Accuracy (alpha=56): 0.69, pos: 0.42, neg: 0.96
Accuracy (alpha=57): 0.70, pos: 0.43, neg: 0.96
Accuracy (alpha=58): 0.70, pos: 0.44, neg: 0.96
Accuracy (alpha=59): 0.70, pos: 0.45, neg: 0.96
Accuracy (alpha=60): 0.71, pos: 0.46, neg: 0.96
Accuracy (alpha=61): 0.71, pos: 0.46, neg: 0.96
Accuracy (alpha=62): 0.71, pos: 0.47, neg: 0.95
Accuracy (alpha=63): 0.72, pos: 0.48, neg: 0.95
Accuracy (alpha=64): 0.72, pos: 0.49, neg: 0.95
Accuracy (alpha=65): 0.73, pos: 0.50, neg: 0.95
Accuracy (alpha=66): 0.73, pos: 0.51, neg: 0.95
Accuracy (alpha=67): 0.73, pos: 0.52, neg: 0.95
Accuracy (alpha=68): 0.74, pos: 0.53, neg: 0.94
Accuracy (alpha=69): 0.74, pos: 0.54, neg: 0.94
Accuracy (alpha=70): 0.74, pos: 0.55, neg: 0.94
Accuracy (alpha=71): 0.75, pos: 0.56, neg: 0.94
Accuracy (alpha=72): 0.75, pos: 0.57, neg: 0.93
Accuracy (alpha=73): 0.76, pos: 0.58, neg: 0.93
Accuracy (alpha=74): 0.76, pos: 0.58, neg: 0.93
Accuracy (alpha=75): 0.76, pos: 0.59, neg: 0.93
Accuracy (alpha=76): 0.77, pos: 0.60, neg: 0.93
Accuracy (alpha=77): 0.77, pos: 0.61, neg: 0.93
Accuracy (alpha=78): 0.77, pos: 0.62, neg: 0.93
Accuracy (alpha=79): 0.78, pos: 0.63, neg: 0.93
Accuracy (alpha=80): 0.78, pos: 0.63, neg: 0.93
Accuracy (alpha=81): 0.78, pos: 0.64, neg: 0.92
Accuracy (alpha=82): 0.78, pos: 0.65, neg: 0.92
Accuracy (alpha=83): 0.79, pos: 0.65, neg: 0.92
Accuracy (alpha=84): 0.79, pos: 0.66, neg: 0.92
Accuracy (alpha=85): 0.79, pos: 0.66, neg: 0.92
Accuracy (alpha=86): 0.79, pos: 0.67, neg: 0.92
Accuracy (alpha=87): 0.79, pos: 0.67, neg: 0.91
Accuracy (alpha=88): 0.79, pos: 0.68, neg: 0.91
Accuracy (alpha=89): 0.80, pos: 0.68, neg: 0.91
Accuracy (alpha=90): 0.80, pos: 0.69, neg: 0.91
Accuracy (alpha=91): 0.80, pos: 0.69, neg: 0.90
Accuracy (alpha=92): 0.80, pos: 0.69, neg: 0.90
Accuracy (alpha=93): 0.80, pos: 0.70, neg: 0.90
Accuracy (alpha=94): 0.80, pos: 0.71, neg: 0.90
Accuracy (alpha=95): 0.80, pos: 0.71, neg: 0.89
Accuracy (alpha=96): 0.80, pos: 0.72, neg: 0.89
Accuracy (alpha=97): 0.81, pos: 0.72, neg: 0.89
Accuracy (alpha=98): 0.81, pos: 0.73, neg: 0.89
Accuracy (alpha=99): 0.81, pos: 0.73, neg: 0.89
Accuracy (alpha=100): 0.81, pos: 0.74, neg: 0.89
Accuracy (alpha=101): 0.81, pos: 0.74, neg: 0.89
Accuracy (alpha=102): 0.81, pos: 0.74, neg: 0.88
Accuracy (alpha=103): 0.81, pos: 0.75, neg: 0.88
Accuracy (alpha=104): 0.81, pos: 0.75, neg: 0.88
Accuracy (alpha=105): 0.82, pos: 0.75, neg: 0.88
Accuracy (alpha=106): 0.82, pos: 0.76, neg: 0.88
Accuracy (alpha=107): 0.82, pos: 0.76, neg: 0.87
Accuracy (alpha=108): 0.82, pos: 0.77, neg: 0.87
Accuracy (alpha=109): 0.82, pos: 0.77, neg: 0.87
Accuracy (alpha=110): 0.82, pos: 0.77, neg: 0.87
Accuracy (alpha=111): 0.82, pos: 0.77, neg: 0.87
Accuracy (alpha=112): 0.82, pos: 0.78, neg: 0.87
Accuracy (alpha=113): 0.82, pos: 0.78, neg: 0.86
Accuracy (alpha=114): 0.82, pos: 0.78, neg: 0.86
Accuracy (alpha=115): 0.82, pos: 0.79, neg: 0.86
Accuracy (alpha=116): 0.83, pos: 0.79, neg: 0.86
Accuracy (alpha=117): 0.83, pos: 0.79, neg: 0.86
Accuracy (alpha=118): 0.83, pos: 0.80, neg: 0.86
Accuracy (alpha=119): 0.83, pos: 0.80, neg: 0.85
Accuracy (alpha=120): 0.83, pos: 0.80, neg: 0.85
Accuracy (alpha=121): 0.83, pos: 0.80, neg: 0.85
Accuracy (alpha=122): 0.83, pos: 0.81, neg: 0.85
Accuracy (alpha=123): 0.83, pos: 0.81, neg: 0.85
Accuracy (alpha=124): 0.83, pos: 0.81, neg: 0.84
Accuracy (alpha=125): 0.83, pos: 0.81, neg: 0.84
Accuracy (alpha=126): 0.83, pos: 0.82, neg: 0.84
Accuracy (alpha=127): 0.83, pos: 0.82, neg: 0.84
Accuracy (alpha=128): 0.83, pos: 0.83, neg: 0.84
Accuracy (alpha=129): 0.83, pos: 0.83, neg: 0.84
Accuracy (alpha=130): 0.83, pos: 0.83, neg: 0.83
Accuracy (alpha=131): 0.83, pos: 0.84, neg: 0.83
Accuracy (alpha=132): 0.83, pos: 0.84, neg: 0.83
Accuracy (alpha=133): 0.83, pos: 0.84, neg: 0.83
Accuracy (alpha=134): 0.83, pos: 0.84, neg: 0.83
Accuracy (alpha=135): 0.83, pos: 0.84, neg: 0.83
Accuracy (alpha=136): 0.83, pos: 0.85, neg: 0.82
Accuracy (alpha=137): 0.83, pos: 0.85, neg: 0.82
Accuracy (alpha=138): 0.83, pos: 0.85, neg: 0.82
Accuracy (alpha=139): 0.83, pos: 0.85, neg: 0.82
Accuracy (alpha=140): 0.83, pos: 0.85, neg: 0.81
Accuracy (alpha=141): 0.83, pos: 0.86, neg: 0.81
Accuracy (alpha=142): 0.83, pos: 0.86, neg: 0.81
Accuracy (alpha=143): 0.84, pos: 0.86, neg: 0.81
Accuracy (alpha=144): 0.84, pos: 0.87, neg: 0.80
Accuracy (alpha=145): 0.84, pos: 0.87, neg: 0.80
Accuracy (alpha=146): 0.84, pos: 0.87, neg: 0.80
Accuracy (alpha=147): 0.84, pos: 0.88, neg: 0.80
Accuracy (alpha=148): 0.84, pos: 0.88, neg: 0.80
Accuracy (alpha=149): 0.84, pos: 0.88, neg: 0.80
Accuracy (alpha=150): 0.84, pos: 0.88, neg: 0.80
Accuracy (alpha=151): 0.84, pos: 0.88, neg: 0.80
Accuracy (alpha=152): 0.84, pos: 0.88, neg: 0.80
Accuracy (alpha=153): 0.84, pos: 0.89, neg: 0.79
Accuracy (alpha=154): 0.84, pos: 0.89, neg: 0.79
Accuracy (alpha=155): 0.84, pos: 0.89, neg: 0.79
Accuracy (alpha=156): 0.84, pos: 0.89, neg: 0.79
Accuracy (alpha=157): 0.84, pos: 0.89, neg: 0.79
Accuracy (alpha=158): 0.84, pos: 0.89, neg: 0.78
Accuracy (alpha=159): 0.84, pos: 0.89, neg: 0.78
Accuracy (alpha=160): 0.84, pos: 0.90, neg: 0.78
Accuracy (alpha=161): 0.84, pos: 0.90, neg: 0.78
Accuracy (alpha=162): 0.84, pos: 0.90, neg: 0.77
Accuracy (alpha=163): 0.84, pos: 0.90, neg: 0.77
Accuracy (alpha=164): 0.84, pos: 0.90, neg: 0.77
Accuracy (alpha=165): 0.84, pos: 0.91, neg: 0.77
Accuracy (alpha=166): 0.84, pos: 0.91, neg: 0.77
Accuracy (alpha=167): 0.84, pos: 0.91, neg: 0.76
Accuracy (alpha=168): 0.84, pos: 0.91, neg: 0.76
Accuracy (alpha=169): 0.84, pos: 0.91, neg: 0.76
Accuracy (alpha=170): 0.84, pos: 0.91, neg: 0.76
Accuracy (alpha=171): 0.84, pos: 0.92, neg: 0.76
Accuracy (alpha=172): 0.84, pos: 0.92, neg: 0.76
Accuracy (alpha=173): 0.84, pos: 0.92, neg: 0.76
Accuracy (alpha=174): 0.84, pos: 0.92, neg: 0.75
Accuracy (alpha=175): 0.84, pos: 0.92, neg: 0.75
Accuracy (alpha=176): 0.84, pos: 0.92, neg: 0.75
Accuracy (alpha=177): 0.84, pos: 0.92, neg: 0.75
Accuracy (alpha=178): 0.83, pos: 0.92, neg: 0.74
Accuracy (alpha=179): 0.83, pos: 0.93, neg: 0.74
Accuracy (alpha=180): 0.83, pos: 0.93, neg: 0.74
Accuracy (alpha=181): 0.83, pos: 0.93, neg: 0.74
Accuracy (alpha=182): 0.83, pos: 0.93, neg: 0.73
Accuracy (alpha=183): 0.83, pos: 0.93, neg: 0.73
Accuracy (alpha=184): 0.83, pos: 0.93, neg: 0.73
Accuracy (alpha=185): 0.83, pos: 0.93, neg: 0.73
Accuracy (alpha=186): 0.83, pos: 0.93, neg: 0.73
Accuracy (alpha=187): 0.83, pos: 0.93, neg: 0.73
Accuracy (alpha=188): 0.83, pos: 0.93, neg: 0.72
Accuracy (alpha=189): 0.83, pos: 0.93, neg: 0.72
Accuracy (alpha=190): 0.83, pos: 0.93, neg: 0.72
Accuracy (alpha=191): 0.82, pos: 0.93, neg: 0.72
Accuracy (alpha=192): 0.82, pos: 0.93, neg: 0.72
Accuracy (alpha=193): 0.82, pos: 0.93, neg: 0.71
Accuracy (alpha=194): 0.82, pos: 0.94, neg: 0.71
Accuracy (alpha=195): 0.82, pos: 0.94, neg: 0.71
Accuracy (alpha=196): 0.82, pos: 0.94, neg: 0.71
Accuracy (alpha=197): 0.82, pos: 0.94, neg: 0.71
Accuracy (alpha=198): 0.82, pos: 0.94, neg: 0.71
Accuracy (alpha=199): 0.82, pos: 0.94, neg: 0.70
Accuracy (alpha=200): 0.82, pos: 0.94, neg: 0.70
Accuracy (alpha=201): 0.82, pos: 0.94, neg: 0.70
Accuracy (alpha=202): 0.82, pos: 0.94, neg: 0.70
Accuracy (alpha=203): 0.82, pos: 0.94, neg: 0.69
Accuracy (alpha=204): 0.82, pos: 0.94, neg: 0.69
Accuracy (alpha=205): 0.82, pos: 0.94, neg: 0.69
Accuracy (alpha=206): 0.82, pos: 0.94, neg: 0.69
Accuracy (alpha=207): 0.81, pos: 0.94, neg: 0.69
Accuracy (alpha=208): 0.81, pos: 0.94, neg: 0.68
Accuracy (alpha=209): 0.81, pos: 0.94, neg: 0.68
Accuracy (alpha=210): 0.81, pos: 0.94, neg: 0.68
Accuracy (alpha=211): 0.81, pos: 0.94, neg: 0.68
Accuracy (alpha=212): 0.81, pos: 0.95, neg: 0.68
Accuracy (alpha=213): 0.81, pos: 0.95, neg: 0.68
Accuracy (alpha=214): 0.81, pos: 0.95, neg: 0.68
Accuracy (alpha=215): 0.81, pos: 0.95, neg: 0.67
Accuracy (alpha=216): 0.81, pos: 0.95, neg: 0.67
Accuracy (alpha=217): 0.81, pos: 0.95, neg: 0.67
Accuracy (alpha=218): 0.81, pos: 0.95, neg: 0.67
Accuracy (alpha=219): 0.81, pos: 0.96, neg: 0.67
Accuracy (alpha=220): 0.81, pos: 0.96, neg: 0.67
Accuracy (alpha=221): 0.81, pos: 0.96, neg: 0.67
Accuracy (alpha=222): 0.81, pos: 0.96, neg: 0.67
Accuracy (alpha=223): 0.81, pos: 0.96, neg: 0.67
Accuracy (alpha=224): 0.81, pos: 0.96, neg: 0.66
Accuracy (alpha=225): 0.81, pos: 0.96, neg: 0.66
Accuracy (alpha=226): 0.81, pos: 0.96, neg: 0.66
Accuracy (alpha=227): 0.81, pos: 0.96, neg: 0.66
Accuracy (alpha=228): 0.81, pos: 0.96, neg: 0.66
Accuracy (alpha=229): 0.81, pos: 0.96, neg: 0.66
Accuracy (alpha=230): 0.81, pos: 0.96, neg: 0.65
Accuracy (alpha=231): 0.81, pos: 0.96, neg: 0.65
Accuracy (alpha=232): 0.81, pos: 0.96, neg: 0.65
Accuracy (alpha=233): 0.80, pos: 0.96, neg: 0.65
Accuracy (alpha=234): 0.80, pos: 0.96, neg: 0.65
Accuracy (alpha=235): 0.80, pos: 0.96, neg: 0.65
Accuracy (alpha=236): 0.80, pos: 0.96, neg: 0.64
Accuracy (alpha=237): 0.80, pos: 0.96, neg: 0.64
Accuracy (alpha=238): 0.80, pos: 0.96, neg: 0.64
Accuracy (alpha=239): 0.80, pos: 0.96, neg: 0.64
Accuracy (alpha=240): 0.80, pos: 0.97, neg: 0.64
Accuracy (alpha=241): 0.80, pos: 0.97, neg: 0.64
Accuracy (alpha=242): 0.80, pos: 0.97, neg: 0.64
Accuracy (alpha=243): 0.80, pos: 0.97, neg: 0.64
Accuracy (alpha=244): 0.80, pos: 0.97, neg: 0.63
Accuracy (alpha=245): 0.80, pos: 0.97, neg: 0.63
Accuracy (alpha=246): 0.80, pos: 0.97, neg: 0.63
Accuracy (alpha=247): 0.80, pos: 0.97, neg: 0.63
Accuracy (alpha=248): 0.80, pos: 0.97, neg: 0.63
Accuracy (alpha=249): 0.80, pos: 0.97, neg: 0.63
Accuracy (alpha=250): 0.80, pos: 0.97, neg: 0.63
Accuracy (alpha=251): 0.80, pos: 0.97, neg: 0.63
Accuracy (alpha=252): 0.80, pos: 0.98, neg: 0.63
Accuracy (alpha=253): 0.80, pos: 0.98, neg: 0.63
Accuracy (alpha=254): 0.80, pos: 0.98, neg: 0.63
Accuracy (alpha=255): 0.80, pos: 0.98, neg: 0.63
Accuracy (alpha=256): 0.80, pos: 0.98, neg: 0.63
Accuracy (alpha=257): 0.80, pos: 0.98, neg: 0.62
Accuracy (alpha=258): 0.80, pos: 0.98, neg: 0.62
Accuracy (alpha=259): 0.80, pos: 0.98, neg: 0.62
Accuracy (alpha=260): 0.80, pos: 0.98, neg: 0.62
Accuracy (alpha=261): 0.80, pos: 0.98, neg: 0.62
Accuracy (alpha=262): 0.80, pos: 0.98, neg: 0.62
Accuracy (alpha=263): 0.80, pos: 0.98, neg: 0.62
Accuracy (alpha=264): 0.80, pos: 0.98, neg: 0.61
Accuracy (alpha=265): 0.80, pos: 0.98, neg: 0.61
Accuracy (alpha=266): 0.80, pos: 0.98, neg: 0.61
Accuracy (alpha=267): 0.79, pos: 0.98, neg: 0.61
Accuracy (alpha=268): 0.79, pos: 0.98, neg: 0.61
Accuracy (alpha=269): 0.79, pos: 0.98, neg: 0.60
Accuracy (alpha=270): 0.79, pos: 0.98, neg: 0.60
Accuracy (alpha=271): 0.79, pos: 0.98, neg: 0.60
Accuracy (alpha=272): 0.79, pos: 0.98, neg: 0.60
Accuracy (alpha=273): 0.79, pos: 0.98, neg: 0.60
Accuracy (alpha=274): 0.79, pos: 0.98, neg: 0.59
Accuracy (alpha=275): 0.79, pos: 0.98, neg: 0.59
Accuracy (alpha=276): 0.79, pos: 0.98, neg: 0.59
Accuracy (alpha=277): 0.79, pos: 0.98, neg: 0.59
Accuracy (alpha=278): 0.79, pos: 0.98, neg: 0.59
Accuracy (alpha=279): 0.79, pos: 0.98, neg: 0.59
Accuracy (alpha=280): 0.78, pos: 0.98, neg: 0.59
Accuracy (alpha=281): 0.78, pos: 0.98, neg: 0.58
Accuracy (alpha=282): 0.78, pos: 0.98, neg: 0.58
Accuracy (alpha=283): 0.78, pos: 0.98, neg: 0.58
Accuracy (alpha=284): 0.78, pos: 0.98, neg: 0.58
Accuracy (alpha=285): 0.78, pos: 0.98, neg: 0.58
Accuracy (alpha=286): 0.78, pos: 0.98, neg: 0.58
Accuracy (alpha=287): 0.78, pos: 0.98, neg: 0.58
Accuracy (alpha=288): 0.78, pos: 0.98, neg: 0.57
Accuracy (alpha=289): 0.78, pos: 0.98, neg: 0.57
Accuracy (alpha=290): 0.78, pos: 0.98, neg: 0.57
Accuracy (alpha=291): 0.77, pos: 0.98, neg: 0.57
Accuracy (alpha=292): 0.77, pos: 0.98, neg: 0.57
Accuracy (alpha=293): 0.77, pos: 0.98, neg: 0.57
Accuracy (alpha=294): 0.77, pos: 0.98, neg: 0.56
Accuracy (alpha=295): 0.77, pos: 0.98, neg: 0.56
Accuracy (alpha=296): 0.77, pos: 0.98, neg: 0.56
Accuracy (alpha=297): 0.77, pos: 0.98, neg: 0.56
Accuracy (alpha=298): 0.77, pos: 0.98, neg: 0.56
Accuracy (alpha=299): 0.77, pos: 0.98, neg: 0.56
Accuracy (alpha=300): 0.77, pos: 0.98, neg: 0.55
Accuracy (alpha=301): 0.77, pos: 0.98, neg: 0.55
Accuracy (alpha=302): 0.77, pos: 0.98, neg: 0.55
Accuracy (alpha=303): 0.77, pos: 0.98, neg: 0.55
Accuracy (alpha=304): 0.77, pos: 0.98, neg: 0.55
Accuracy (alpha=305): 0.77, pos: 0.98, neg: 0.55
Accuracy (alpha=306): 0.77, pos: 0.98, neg: 0.55
Accuracy (alpha=307): 0.76, pos: 0.98, neg: 0.55
Accuracy (alpha=308): 0.76, pos: 0.98, neg: 0.54
Accuracy (alpha=309): 0.76, pos: 0.98, neg: 0.54
Accuracy (alpha=310): 0.76, pos: 0.98, neg: 0.54
Accuracy (alpha=311): 0.76, pos: 0.98, neg: 0.54
Accuracy (alpha=312): 0.76, pos: 0.98, neg: 0.54
Accuracy (alpha=313): 0.76, pos: 0.98, neg: 0.54
Accuracy (alpha=314): 0.76, pos: 0.98, neg: 0.54
Accuracy (alpha=315): 0.76, pos: 0.98, neg: 0.54
Accuracy (alpha=316): 0.76, pos: 0.98, neg: 0.54
Accuracy (alpha=317): 0.76, pos: 0.98, neg: 0.54
Accuracy (alpha=318): 0.76, pos: 0.98, neg: 0.54
Accuracy (alpha=319): 0.76, pos: 0.98, neg: 0.53
Accuracy (alpha=320): 0.76, pos: 0.98, neg: 0.53
Accuracy (alpha=321): 0.76, pos: 0.98, neg: 0.53
Accuracy (alpha=322): 0.76, pos: 0.98, neg: 0.53
Accuracy (alpha=323): 0.76, pos: 0.98, neg: 0.53
Accuracy (alpha=324): 0.76, pos: 0.98, neg: 0.53
Accuracy (alpha=325): 0.76, pos: 0.98, neg: 0.53
Accuracy (alpha=326): 0.75, pos: 0.98, neg: 0.52
Accuracy (alpha=327): 0.75, pos: 0.98, neg: 0.52
Accuracy (alpha=328): 0.75, pos: 0.98, neg: 0.52
Accuracy (alpha=329): 0.75, pos: 0.98, neg: 0.52
Accuracy (alpha=330): 0.75, pos: 0.98, neg: 0.52
Accuracy (alpha=331): 0.75, pos: 0.98, neg: 0.52
Accuracy (alpha=332): 0.75, pos: 0.98, neg: 0.52
Accuracy (alpha=333): 0.75, pos: 0.98, neg: 0.52
Accuracy (alpha=334): 0.75, pos: 0.98, neg: 0.52
Accuracy (alpha=335): 0.75, pos: 0.98, neg: 0.51
Accuracy (alpha=336): 0.75, pos: 0.98, neg: 0.51
Accuracy (alpha=337): 0.75, pos: 0.98, neg: 0.51
Accuracy (alpha=338): 0.75, pos: 0.98, neg: 0.51
Accuracy (alpha=339): 0.74, pos: 0.98, neg: 0.51
Accuracy (alpha=340): 0.74, pos: 0.98, neg: 0.51
Accuracy (alpha=341): 0.74, pos: 0.98, neg: 0.50
Accuracy (alpha=342): 0.74, pos: 0.98, neg: 0.50
Accuracy (alpha=343): 0.74, pos: 0.98, neg: 0.50
Accuracy (alpha=344): 0.74, pos: 0.98, neg: 0.50
Accuracy (alpha=345): 0.74, pos: 0.98, neg: 0.50
Accuracy (alpha=346): 0.74, pos: 0.98, neg: 0.50
Accuracy (alpha=347): 0.74, pos: 0.98, neg: 0.50
Accuracy (alpha=348): 0.74, pos: 0.98, neg: 0.50
Accuracy (alpha=349): 0.74, pos: 0.98, neg: 0.49
Accuracy (alpha=350): 0.74, pos: 0.98, neg: 0.49
Accuracy (alpha=351): 0.74, pos: 0.98, neg: 0.49
Accuracy (alpha=352): 0.74, pos: 0.98, neg: 0.49
Accuracy (alpha=353): 0.74, pos: 0.98, neg: 0.49
Accuracy (alpha=354): 0.74, pos: 0.98, neg: 0.49
Accuracy (alpha=355): 0.74, pos: 0.98, neg: 0.49
Accuracy (alpha=356): 0.73, pos: 0.98, neg: 0.49
Accuracy (alpha=357): 0.73, pos: 0.98, neg: 0.48
Accuracy (alpha=358): 0.73, pos: 0.98, neg: 0.48
Accuracy (alpha=359): 0.73, pos: 0.98, neg: 0.48
Accuracy (alpha=360): 0.73, pos: 0.98, neg: 0.48
Accuracy (alpha=361): 0.73, pos: 0.98, neg: 0.48
Accuracy (alpha=362): 0.73, pos: 0.98, neg: 0.48
Accuracy (alpha=363): 0.73, pos: 0.98, neg: 0.47
Accuracy (alpha=364): 0.73, pos: 0.98, neg: 0.47
Accuracy (alpha=365): 0.73, pos: 0.98, neg: 0.47
