Graph with 1000 vertices and 12908 edges
Max alpha: 8.19456440635
Accuracy (alpha=0.00): 0.50, pos: 0.00, neg: 1.00
Accuracy (alpha=0.10): 0.50, pos: 0.00, neg: 1.00
Accuracy (alpha=0.20): 0.50, pos: 0.01, neg: 1.00
Accuracy (alpha=0.30): 0.51, pos: 0.02, neg: 1.00
Accuracy (alpha=0.40): 0.53, pos: 0.05, neg: 1.00
Accuracy (alpha=0.50): 0.54, pos: 0.09, neg: 0.99
Accuracy (alpha=0.60): 0.57, pos: 0.15, neg: 0.99
Accuracy (alpha=0.70): 0.61, pos: 0.23, neg: 0.98
Accuracy (alpha=0.80): 0.65, pos: 0.32, neg: 0.98
Accuracy (alpha=0.90): 0.68, pos: 0.40, neg: 0.97
Accuracy (alpha=1.00): 0.72, pos: 0.48, neg: 0.96
Accuracy (alpha=1.10): 0.75, pos: 0.55, neg: 0.95
Accuracy (alpha=1.20): 0.79, pos: 0.63, neg: 0.94
Accuracy (alpha=1.30): 0.80, pos: 0.68, neg: 0.93
Accuracy (alpha=1.40): 0.83, pos: 0.75, neg: 0.91
Accuracy (alpha=1.50): 0.84, pos: 0.79, neg: 0.89
Accuracy (alpha=1.60): 0.84, pos: 0.83, neg: 0.86
Accuracy (alpha=1.70): 0.85, pos: 0.86, neg: 0.84
Accuracy (alpha=1.80): 0.85, pos: 0.88, neg: 0.82
Accuracy (alpha=1.90): 0.85, pos: 0.90, neg: 0.80
Accuracy (alpha=2.00): 0.85, pos: 0.92, neg: 0.78
Accuracy (alpha=2.10): 0.85, pos: 0.94, neg: 0.76
Accuracy (alpha=2.20): 0.84, pos: 0.95, neg: 0.74
Accuracy (alpha=2.30): 0.84, pos: 0.96, neg: 0.72
Accuracy (alpha=2.40): 0.83, pos: 0.96, neg: 0.69
Accuracy (alpha=2.50): 0.82, pos: 0.97, neg: 0.67
Accuracy (alpha=2.60): 0.81, pos: 0.97, neg: 0.64
Accuracy (alpha=2.70): 0.80, pos: 0.97, neg: 0.62
Accuracy (alpha=2.80): 0.79, pos: 0.98, neg: 0.60
Accuracy (alpha=2.90): 0.78, pos: 0.98, neg: 0.57
Accuracy (alpha=3.00): 0.76, pos: 0.99, neg: 0.54
Accuracy (alpha=3.10): 0.76, pos: 0.99, neg: 0.52
Accuracy (alpha=3.20): 0.75, pos: 0.99, neg: 0.50
Accuracy (alpha=3.30): 0.74, pos: 0.99, neg: 0.48
Accuracy (alpha=3.40): 0.73, pos: 1.00, neg: 0.46
Accuracy (alpha=3.50): 0.71, pos: 1.00, neg: 0.43
Accuracy (alpha=3.60): 0.70, pos: 1.00, neg: 0.41
Accuracy (alpha=3.70): 0.69, pos: 1.00, neg: 0.38
Accuracy (alpha=3.80): 0.68, pos: 1.00, neg: 0.36
Accuracy (alpha=3.90): 0.67, pos: 1.00, neg: 0.34
Accuracy (alpha=4.00): 0.66, pos: 1.00, neg: 0.32
Accuracy (alpha=4.10): 0.65, pos: 1.00, neg: 0.30
Accuracy (alpha=4.20): 0.64, pos: 1.00, neg: 0.28
Accuracy (alpha=4.30): 0.63, pos: 1.00, neg: 0.26
Accuracy (alpha=4.40): 0.62, pos: 1.00, neg: 0.24
Accuracy (alpha=4.50): 0.61, pos: 1.00, neg: 0.22
Accuracy (alpha=4.60): 0.60, pos: 1.00, neg: 0.21
Accuracy (alpha=4.70): 0.59, pos: 1.00, neg: 0.19
Accuracy (alpha=4.80): 0.58, pos: 1.00, neg: 0.17
Accuracy (alpha=4.90): 0.58, pos: 1.00, neg: 0.16
